account_number,snapshot_month,household_composition,activation_date,lifecycle_stage,geographic_market,premises_type,value_tier,credit_profile,commitment_end_date,own_voice_flag,own_data_flag,own_video_flag,loyalty_program_participation,loyalty_status,service_type,subscribed_speed_mbps,avg_delivered_throughput_mbps,network_outage_events,network_outage_duration_minutes,latency_ms,jitter_ms,packet_loss_pct,trouble_ticket_volume,ticket_resolution_time_hours,repeat_issue_flag,infrastructure_age_years,copper_pair_condition_score,distance_from_co_km,fiber_available_at_premises,service_provisioning_delay_days,install_failure_flag,mrc_data,mrc_voice,mrc_video,usage_based_charges,overage_charges,promo_discount_amount,promo_expiration_flag,price_increase_flag,notification_days_before_increase,credits_issued,billing_dispute_flag,refund_request_flag,bill_amount,late_payment_flag,collections_activity_flag,churn_event_month,churn_reason_code,final_destination,winback_attempts,winback_success_flag,time_to_churn_from_key_trigger_days,inbound_call_volume,call_reason_code,avg_handle_time_sec,escalations,transfers,nps_score,csat_score,ces_score,retention_offer_type,save_attempt_flag,save_outcome,complaint_volume,complaint_type,complaint_severity,chat_transcripts_count,email_correspondence_count,ivr_interactions_count,agent_notes_count,case_mgmt_records_count,data_consumption_gb,peak_usage_hours_pct,bandwidth_utilization_pct,connected_device_count,device_types_sample,video_streaming_hours,voip_minutes,self_service_portal_logins,mobile_app_sessions,avg_session_duration_sec,email_open_rate,sms_response_rate,competitor_broadband_available_by_address,competitor_pricing_index,competitor_promo_active,fixed_wireless_5g_coverage_rate,market_share_index,median_income,employment_rate,new_housing_dev_index,mdu_density_index,subsidy_eligibility,retention_campaign_exposed,offer_accept_flag,offer_reject_flag,fiber_migration_campaign_participation,upsell_cross_sell_attempt_flag,upsell_cross_sell_outcome,marketing_channel_engagement,ab_test_group,comm_preference,opt_out_marketing_flag,service_activation_event,service_deactivation_event,lifecycle_stage_lower,months_to_churn,churn_flag_3m,tenure_months,months_to_commitment_end,near_contract_end_flag,competitive_pressure,history_available_months,history_coverage_ratio_12m,new_customer_flag,prev_bill,bill_shock_flag,throughput_to_speed_ratio,speed_gap_ratio,revenue_per_speed,outage_severity,tickets_last_3m_sum,outages_last_3m_sum,bill_volatility_3m_std,nps_3m_min,csat_3m_min,usage_3m_avg,tickets_3m_avg,tickets_last_6m_sum,outages_last_6m_sum,bill_volatility_6m_std,nps_6m_min,csat_6m_min,usage_6m_avg,tickets_last_12m_sum,outages_last_12m_sum,bill_volatility_12m_std,nps_12m_min,csat_12m_min,usage_12m_avg,bill_shock_last_12m_sum,outage_severity_last_12m_sum,usage_mom_pct_change,usage_drop_ratio_3m_vs_12m,ticket_acceleration_3m_vs_12m,outage_acceleration_3m_vs_12m,bill_volatility_acceleration_3m_vs_12m,ticket_per_month,ticket_per_active_month_12m,tenure_bucket,tenure_bucket_encoded,ticket_spike_ratio,outage_trend_ratio,usage_last_3m,usage_last_6m,usage_drop_ratio,fiber_speed_risk,service_frustration_index,frustration_acceleration,eda_service_score,eda_billing_score,eda_usage_score,eda_competition_score,eda_contract_score,eda_support_score,eda_composite_score,eda_service_flag,eda_billing_flag,eda_usage_flag,eda_competition_flag,eda_contract_flag,eda_support_flag,eda_analysis,eda_reasons
200000,2024-12-01,Family,2023-04-01,Active,Metro,Bulk,Mid,A,,0,1,0,1,Bronze,Copper_DSL,46.0,25.2,1,70,68.4,5.7,0.295,2,37.4,0,27,85,3.45,0,1,0,49.07,0,0,0.0,0.0,0.0,0,0,0,4.31,0,0,44.76,0,0,,,,0,0,,1,Retention,539,0,1,22,2.8,2.22,,0,,1,Support,Low,0,1,1,1,1,339.5,0.136,0.62,8,"Laptop,Phone,TV",72.3,0.0,1,1,130,0.259,0.0,0,0.0,0,0.55,1.15,78000,0.962,1.3,0.79,,0,0,0,0,0,,Email,Variant_B,Email,0,0,0,active,,0,20.333333333333332,-999.0,0,0,4,0.3333333333333333,0,41.74,0,0.5478260869565217,0.45217391304347826,1.0667391304347826,1.1666666666666667,4.0,4.0,8.018518150714213,20.0,2.39,270.56666666666666,1.3333333333333333,6.0,5.0,6.790465742495132,20.0,2.39,276.1,6.0,5.0,6.790465742495132,20.0,2.39,276.1,0.0,7.250000000000001,0.36017628205128216,-0.020041047929494238,0.8333333333333333,0.9166666666666665,1.2280524082190807,0.09836065573770493,1.5,established,1,0.6666666666666666,0.8,270.56666666666666,276.1,0.9799589520705058,0.0,1.918840579710145,-0.5202898550724635,10.305260869565219,0.0,3.101213730934847,1.105,0.0,3.35,17.861474600500067,1,0,0,0,1,1,"service: 4 tickets, 4 outages; support: 1 complaint, 1 inbound call; contract ends in 0 months.",Recurring service failures are eroding the customer experience; high support volume indicates unresolved friction with the service.
200000,2025-01-01,Family,2023-07-01,Active,Metro,Bulk,Mid,A,,0,1,0,1,Silver,Copper_DSL,46.0,25.7,2,43,76.8,11.3,0.193,0,0.0,0,27,85,3.45,0,0,0,49.07,0,0,4.38,7.04,0.0,0,0,0,0.0,0,0,60.49,0,0,,,,0,0,,1,Billing,488,0,0,9,4.55,1.71,Speed_Upgrade,0,,1,Billing,Low,0,1,1,0,1,190.7,0.327,0.424,8,"Laptop,Phone,TV",81.7,0.0,2,0,0,0.346,0.044,1,0.95,1,0.55,1.15,78000,0.962,1.25,1.25,,0,0,0,0,0,,Email,Variant_B,Email,0,0,0,active,,0,18.333333333333332,-999.0,0,1,5,0.4166666666666667,0,44.76,1,0.558695652173913,0.44130434782608696,1.0667391304347826,1.4333333333333333,3.0,5.0,10.067404498346797,9.0,2.8,259.93333333333334,1.0,6.0,7.0,7.8990777942744685,9.0,2.39,259.02,6.0,7.0,7.8990777942744685,9.0,2.39,259.02,1.0,8.683333333333334,-0.4382916053019146,0.0035261112398013873,0.5,1.0833333333333335,2.168326704072328,0.0,1.2,established,1,0.5,0.7142857142857143,259.93333333333334,259.02,1.0035261112398013,0.0,1.6555900621118014,-0.8444099378881986,10.323385093167701,2.6408,3.947767932504326,4.595000000000001,0.0,2.5,24.006953025672026,1,1,1,1,1,1,"service: 3 tickets, 5 outages; competition: alt. provider available, promo active, 5G coverage; usage: MoM=-44%.",Recurring service failures are eroding the customer experience; competitor availability and promotions create an easy switching path.
200000,2025-02-01,Family,2023-06-01,Active,Metro,Bulk,Mid,A,,0,1,0,1,Silver,Copper_DSL,46.0,25.2,1,79,76.0,7.7,0.425,1,35.9,1,27,85,3.45,0,3,0,49.07,0,0,7.9,0.02,0.0,0,0,0,0.0,0,0,56.99,0,0,,,,0,0,,3,Technical,516,0,0,7,4.14,3.15,,0,,1,Speed,Medium,0,0,1,1,0,318.8,0.174,0.518,8,"Laptop,Phone,TV",77.2,0.0,0,0,0,0.251,0.238,0,0.0,0,0.55,1.15,78000,0.962,1.28,1.29,,0,0,0,0,0,,,Variant_B,Email,0,0,0,active,,0,20.366666666666667,-999.0,0,0,6,0.5,0,60.49,0,0.5478260869565217,0.45217391304347826,1.0667391304347826,1.3166666666666667,3.0,4.0,8.25889217752599,7.0,2.8,283.0,1.0,7.0,8.0,7.468940353222806,7.0,2.39,268.98333333333335,7.0,8.0,7.468940353222806,7.0,2.39,268.98333333333335,1.0,10.0,0.6717357105401156,0.05210979614598173,0.41666666666666663,0.6666666666666666,0.7899518243031842,0.049099836333878884,1.1666666666666667,established,1,0.42857142857142855,0.5,283.0,268.98333333333335,1.0521097961459818,0.0,1.380745341614907,-1.0453416149068324,12.61111801242236,0.0004,3.0697255096350453,1.105,0.0,2.95,19.736243522057404,1,0,0,0,1,1,"service: 3 tickets, 4 outages, repeat issue logged; support: 1 complaint, 3 inbound calls; contract ends in 0 months.",Recurring service failures are eroding the customer experience; high support volume indicates unresolved friction with the service.
200000,2025-03-01,Family,2024-01-01,Active,Metro,Bulk,Mid,A,,0,1,0,1,Gold,Copper_DSL,46.0,34.0,1,1,78.1,6.5,0.47,0,0.0,0,27,85,3.45,0,1,0,49.07,0,0,1.05,2.61,0.0,0,0,0,0.0,0,0,52.73,0,0,,,,0,0,,0,,0,0,0,34,3.81,1.44,Discount,0,,0,,,0,0,1,0,0,181.9,0.175,0.484,8,"Laptop,Phone,TV",65.9,0.0,2,2,94,0.319,0.129,0,0.0,0,0.55,1.15,78000,0.962,1.11,0.92,,0,0,0,0,0,Rejected,Email,Variant_B,Email,0,0,0,active,,0,14.166666666666666,-999.0,0,0,7,0.5833333333333334,0,56.99,0,0.7391304347826086,0.2608695652173913,1.0667391304347826,0.016666666666666666,1.0,4.0,3.8861977990490053,7.0,3.81,230.46666666666667,0.3333333333333333,5.0,8.0,7.465704699937352,7.0,2.39,250.51666666666665,7.0,9.0,6.8230924423014,7.0,2.39,256.54285714285714,1.0,10.016666666666667,-0.42942283563362615,-0.10164457808961651,-0.25000000000000006,0.5833333333333333,-2.9368946432523946,0.0,1.0,early_growth,0,0.2,0.5,230.46666666666667,250.51666666666665,0.919965404830018,0.0,0.9608695652173913,-0.9579710144927538,7.574304347826088,0.052199999999999996,3.998043270303319,1.105,0.0,0.1,12.829547618129407,0,1,1,0,1,0,"usage: drop_ratio=0.92, MoM=-43%; billing: elevated pressure; contract ends in 0 months.",Declining usage signals growing disengagement from the service; billing pressure is reducing perceived plan value.
200000,2025-04-01,Family,2023-11-01,Active,Metro,Bulk,Mid,A,,0,1,0,1,Bronze,Copper_DSL,46.0,25.8,1,39,70.2,3.8,1.033,1,36.7,0,27,85,3.45,0,1,0,49.07,0,0,0.44,0.0,0.0,0,0,0,0.0,0,0,49.51,0,0,,,,0,0,,1,Billing,451,0,0,2,3.36,2.23,,0,,0,,,1,1,3,1,0,227.6,0.202,0.63,8,"Laptop,Phone,TV",83.1,0.0,0,1,130,0.243,0.0,1,0.97,1,0.55,1.15,78000,0.962,1.17,1.1,,0,0,0,0,0,,Phone,Variant_B,Email,0,0,0,active,,0,17.233333333333334,-999.0,0,1,8,0.6666666666666666,0,52.73,0,0.5608695652173913,0.43913043478260866,1.0667391304347826,0.65,2.0,3.0,3.7520305613538554,2.0,3.36,242.76666666666665,0.6666666666666666,5.0,8.0,7.153045971239572,2.0,2.8,251.35,8.0,10.0,6.38517241628715,2.0,2.39,252.925,1.0,10.666666666666668,0.25123694337548086,-0.04016342130407575,0.0,0.16666666666666663,-2.633141854933295,0.058027079303675046,1.0,early_growth,0,0.4,0.375,242.76666666666665,251.35,0.9658510708838935,0.0,1.2141304347826087,-0.44145962732919264,10.569195652173914,0.0,3.1964834339013772,4.599,0.0,0.9500000000000001,19.31467908607529,1,0,0,1,1,0,"service: 2 tickets, 3 outages, NPS=2; competition: alt. provider available, promo active, 5G coverage; contract ends in 0 months.",Recurring service failures are eroding the customer experience; competitor availability and promotions create an easy switching path.
200000,2025-05-01,Family,2024-07-01,Active,Metro,Bulk,Mid,A,,0,1,0,1,Gold,Copper_DSL,46.0,21.1,0,0,83.8,3.5,0.063,0,0.0,0,27,85,3.45,0,0,0,49.07,0,0,1.94,0.0,0.0,0,0,0,0.0,0,0,51.01,0,0,,,,0,0,,1,Billing,362,0,0,43,2.99,2.91,Discount,0,,1,Install,Medium,1,1,1,1,0,251.2,0.17,0.434,8,"Laptop,Phone,TV",56.9,0.0,3,0,0,0.164,0.159,0,0.0,0,0.55,1.15,78000,0.962,0.73,1.19,,1,1,0,0,0,,Email,Variant_B,Email,0,0,0,active,,0,10.133333333333333,-999.0,0,0,9,0.75,1,49.51,0,0.45869565217391306,0.5413043478260869,1.0667391304347826,0.0,1.0,2.0,1.6112521011106018,2.0,2.99,220.23333333333335,0.3333333333333333,4.0,6.0,5.569216880914829,2.0,2.8,251.61666666666667,8.0,10.0,5.9787877347985665,2.0,2.39,252.73333333333332,1.0,10.666666666666668,0.1036906854130053,-0.12859403851226578,-0.3333333333333333,-0.16666666666666674,-4.3675356336879645,0.0,0.8888888888888888,early_growth,0,0.25,0.3333333333333333,220.23333333333335,251.61666666666667,0.8752732330926675,0.0,1.1246376811594203,-0.2561076604554866,9.29395652173913,0.0,3.3318169172683314,1.105,0.0,2.35,16.080773439007462,1,0,1,0,1,1,"service: 1 ticket, 2 outages, NPS=2; usage: drop_ratio=0.88; support: 1 complaint, 1 inbound call.",Recurring service failures are eroding the customer experience; declining usage signals growing disengagement from the service.
200000,2025-06-01,Family,2022-12-01,Active,Metro,Bulk,Mid,A,,0,1,0,1,Silver,Copper_DSL,46.0,28.3,0,0,69.7,1.8,0.335,1,27.8,0,27,85,3.45,0,0,0,49.07,0,0,0.0,0.0,0.0,0,0,0,0.0,0,0,49.07,0,0,,,,0,0,,0,,0,0,0,26,4.23,2.1,Speed_Upgrade,0,,0,,,0,0,0,0,1,122.6,0.258,0.589,8,"Laptop,Phone,TV",78.0,0.0,2,1,137,0.25,0.243,1,0.9,1,0.55,1.15,78000,0.962,1.06,0.99,,0,0,0,0,1,,,Variant_B,Email,0,0,0,active,,0,30.433333333333334,-999.0,0,1,10,0.8333333333333334,0,51.01,0,0.6152173913043478,0.3847826086956522,1.0667391304347826,0.0,2.0,1.0,1.0171201174558226,2.0,2.99,200.46666666666667,0.6666666666666666,3.0,5.0,4.5417661762798875,2.0,2.99,215.46666666666667,9.0,10.0,5.699012487557238,2.0,2.39,239.71999999999997,1.0,10.666666666666668,-0.5119426751592357,-0.16374659324767774,-0.08333333333333337,-0.5,-4.681892370101416,0.03285870755750274,0.9,established,1,0.6666666666666666,0.2,200.46666666666667,215.46666666666667,0.9303836633663366,0.0,1.2514492753623188,0.29057971014492745,9.284173913043478,0.0,4.187481747458186,4.585,0.0,0.3,18.356655660501666,1,0,1,1,1,0,"service: 2 tickets, 1 outage, NPS=2; competition: alt. provider available, promo active, 5G coverage; usage: drop_ratio=0.93, MoM=-51%.",Recurring service failures are eroding the customer experience; competitor availability and promotions create an easy switching path.
200000,2025-07-01,Family,2022-10-01,Active,Metro,Bulk,Mid,A,,0,1,0,1,Bronze,Copper_DSL,46.0,17.0,0,0,75.8,5.4,0.572,0,0.0,0,27,85,3.45,0,0,0,49.07,0,0,0.0,0.0,0.0,0,0,0,0.0,0,0,49.07,0,0,,,,0,0,,0,,0,0,0,56,3.91,1.69,,0,,0,,,0,0,0,0,1,364.2,0.261,0.468,8,"Laptop,Phone,TV",77.7,0.0,0,2,183,0.494,0.219,0,0.0,0,0.55,1.15,78000,0.962,1.33,1.34,,0,0,0,0,0,,Email,Variant_B,Email,0,0,0,active,,0,33.46666666666667,-999.0,0,0,11,0.9166666666666666,0,49.07,0,0.3695652173913043,0.6304347826086957,1.0667391304347826,0.0,1.0,0.0,1.1200595222278797,26.0,2.99,246.0,0.3333333333333333,3.0,3.0,3.0854151530493708,2.0,2.99,244.38333333333335,9.0,10.0,5.45433005635306,2.0,2.39,251.03636363636363,1.0,10.666666666666668,1.9706362153344208,-0.02006228724560004,-0.4166666666666667,-0.8333333333333334,-4.33427053412518,0.0,0.8181818181818182,established,1,0.3333333333333333,0.0,246.0,244.38333333333335,1.006615290186183,0.0,0.963768115942029,-0.2503623188405797,3.4526521739130436,0.0,3.022795107867876,1.105,0.0,0.3,7.88044728178092,0,0,0,0,1,0,contract ends in 0 months.,Approaching contract end creates a natural window to switch providers.
200000,2025-08-01,Family,2023-07-01,Active,Metro,Bulk,Mid,A,,0,1,0,1,Silver,Copper_DSL,46.0,19.8,0,0,56.4,5.3,0.727,0,0.0,0,27,85,3.45,0,1,0,49.07,0,0,0.0,0.91,0.0,0,0,0,5.79,0,0,44.19,0,0,,,,0,0,,0,,0,0,0,12,4.14,2.71,,0,,1,Other,Medium,0,0,1,0,0,248.1,0.186,0.49,8,"Laptop,Phone,TV",65.2,0.0,1,0,0,0.299,0.14,0,0.0,0,0.55,1.15,78000,0.962,1.35,0.91,,1,0,1,0,0,Rejected,Email,Variant_B,Email,0,0,0,active,,0,25.4,-999.0,0,0,12,1.0,0,49.07,0,0.43043478260869567,0.5695652173913043,1.0667391304347826,0.0,1.0,0.0,2.817469313645382,12.0,3.91,244.96666666666667,0.3333333333333333,2.0,2.0,2.8615706642797836,2.0,2.99,232.6,9.0,10.0,5.584729924833728,2.0,2.39,250.79166666666666,1.0,10.666666666666668,-0.3187808896210873,-0.02322644957634154,-0.4166666666666667,-0.8333333333333334,-2.767260611188346,0.0,0.75,established,1,0.5,0.0,244.96666666666667,232.6,1.0531670965892805,0.0,1.0695652173913044,-0.05507246376811592,2.9673478260869564,0.0182,3.6446440377689733,1.105,0.0,1.7000000000000002,9.43519186385593,0,0,1,0,1,1,usage: MoM=-32%; support: 1 complaint; contract ends in 0 months.,Declining usage signals growing disengagement from the service; high support volume indicates unresolved friction with the service.
200000,2025-09-01,Family,2023-11-01,Active,Metro,Bulk,Mid,A,,0,1,0,1,Gold,Copper_DSL,46.0,23.5,2,122,72.2,4.7,0.593,1,35.5,1,27,85,3.45,0,0,0,53.98,0,0,7.03,3.33,0.0,0,1,38,0.89,0,0,63.45,0,0,,,,0,0,,0,,0,0,0,17,3.37,1.69,,0,,1,Support,Low,0,0,0,0,1,213.4,0.05,0.448,8,"Laptop,Phone,TV",97.3,0.0,1,2,133,0.188,0.002,1,0.85,1,0.55,1.15,78000,0.962,1.28,0.98,,0,0,0,0,0,,Email,Variant_B,Email,0,0,0,active,,0,22.333333333333332,-999.0,0,1,12,1.0,0,44.19,1,0.5108695652173914,0.4891304347826087,1.173478260869565,4.066666666666666,1.0,2.0,10.012878374040772,12.0,3.37,275.23333333333335,0.3333333333333333,3.0,3.0,6.496669916195527,2.0,2.99,237.85,8.0,11.0,6.702497273178834,2.0,2.39,244.18333333333337,2.0,14.716666666666667,-0.13986295848448205,0.12715855572998422,-0.3333333333333333,-0.25,3.310381100861938,0.04477611940298508,0.6666666666666666,established,1,0.3333333333333333,0.6666666666666666,275.23333333333335,237.85,1.1571718870436551,0.0,1.4891304347826086,0.2376811594202899,8.074695652173913,4.5666,2.877240643804271,4.575,0.0,1.9000000000000001,21.99353629597818,1,1,0,1,1,1,"service: 1 ticket, 2 outages, repeat issue logged; competition: alt. provider available, promo active, 5G coverage; billing: bill shock, price increase.",Recurring service failures are eroding the customer experience; competitor availability and promotions create an easy switching path.
